time,x,der(x),der(der(x)),F_in,k,c,m
0.5500000000000003,0.8761131064997519,-0.4021602349030644,-0.4739528715966875,0,0,0,0
0.5600000000000003,0.8720681869848154,-0.4068560587411127,-0.4652121282437026,0,0,0,0
0.5700000000000003,0.8679767412654233,-0.41146467149552,-0.4565120697699034,0,0,0,0
0.5800000000000003,0.8638396394305925,-0.415986482390617,-0.4478531570399755,0,0,0,0
0.5900000000000003,0.8596577474544249,-0.4204219052159689,-0.439235842238456,0,0,0,0
0.6000000000000003,0.8554319271508876,-0.4247713582397737,-0.4306605689111139,0,0,0,0
0.6100000000000003,0.8511630361294485,-0.4290352641226765,-0.4221277720067721,0,0,0,0
0.6200000000000003,0.8468519277515818,-0.433214049832005,-0.4136378779195768,0,0,0,0
0.6300000000000003,0.8424994510881211,-0.4373081465564294,-0.4051913045316917,0,0,0,0
0.6400000000000003,0.8381064508774679,-0.4413179896210511,-0.3967884612564169,0,0,0,0
0.6500000000000004,0.8336737674846449,-0.4452440184029252,-0.3884297490817198,0,0,0,0
0.6600000000000004,0.8292022368611931,-0.44908667624702,-0.3801155606141731,0,0,0,0
0.6700000000000004,0.8246926905059072,-0.45284641038262,-0.3718462801232872,0,0,0,0
0.6800000000000004,0.8201459554264047,-0.45652367184017,-0.3636222835862347,0,0,0,0
0.6900000000000004,0.8155628541015234,-0.4601189153685727,-0.3554439387329507,0,0,0,0
0.7000000000000004,0.8109442044445434,-0.4636325993529364,-0.347311605091607,0,0,0,0
0.7100000000000004,0.806290819767233,-0.4670651857327816,-0.3392256340344515,0,0,0,0
0.7200000000000004,0.8016035087447044,-0.4704171399207047,-0.3311863688239997,0,0,0,0
0.7300000000000004,0.7968830753810872,-0.4736889307215092,-0.3231941446595779,0,0,0,0
0.7400000000000004,0.7921303189760004,-0.4768810302518017,-0.3152492887241987,0,0,0,0
0.7500000000000004,0.7873460340918345,-0.4799939138600576,-0.3073521202317768,0,0,0,0
0.7600000000000005,0.7825310105218236,-0.4830280600471635,-0.2995029504746601,0,0,0,0
0.7700000000000005,0.7776860332589152,-0.4859839503874349,-0.2917020828714803,0,0,0,0
0.7800000000000005,0.7728118824654225,-0.4888620694501139,-0.2839498130153086,0,0,0,0
0.7900000000000005,0.7679093334434632,-0.4916629047213498,-0.2762464287221134,0,0,0,0
0.8000000000000005,0.7629791566061747,-0.4943869465266668,-0.2685922100795079,0,0,0,0
0.8100000000000005,0.7580221174497002,-0.4970346879539191,-0.260987429495781,0,0,0,0
0.8200000000000005,0.7530389765259473,-0.4996066247767406,-0.2534323517492068,0,0,0,0
0.8300000000000005,0.7480304894161062,-0.5021032553784861,-0.2459272340376201,0,0,0,0
0.8400000000000005,0.7429974067049253,-0.5045250806766706,-0.2384723260282547,0,0,0,0
0.8500000000000005,0.737940473955744,-0.5068726040479093,-0.2310678699078347,0,0,0,0
0.8600000000000005,0.7328604316862711,-0.5091463312533583,-0.2237141004329128,0,0,0,0
0.8700000000000006,0.7277580153451031,-0.5113467703646611,-0.216411244980442,0,0,0,0
0.8800000000000006,0.7226339552889884,-0.5134744316904023,-0.2091595235985861,0,0,0,0
0.8900000000000006,0.717488976760816,-0.5155298277030683,-0.2019591490577477,0,0,0,0
0.9000000000000006,0.712323799868338,-0.5175134729665225,-0.1948103269018155,0,0,0,0
0.9100000000000006,0.7071391395636124,-0.5194258840639917,-0.1877132554996207,0,0,0,0
0.9200000000000006,0.7019357056231635,-0.5212675795265707,-0.1806681260965929,0,0,0,0
0.9300000000000006,0.6967142026288549,-0.5230390797622394,-0.1736751228666155,0,0,0,0
0.9400000000000006,0.6914753299494715,-0.5247409069854075,-0.1667344229640639,0,0,0,0
0.9500000000000006,0.6862197817229984,-0.5263735851469729,-0.1598461965760255,0,0,0,0
0.9600000000000006,0.6809482468396034,-0.5279376398649068,-0.1530106069746966,0,0,0,0
0.9700000000000006,0.6756614089253048,-0.5294335983553643,-0.1462278105699405,0,0,0,0
